# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = KATRIN
# method = sample (Default)
#   sample
#     num_samples = 600
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 1513717717
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mass,endpoint,A_sig,A_bkg,B_A,B_S,B_max,A1,A2,w1,w2,e2,sigma
-270081,1,0.00195312,1,3,0,353648,0.348032,18573.7,-366.2,0.982332,2.69592,25211.5,41629.7,0.200152,0.0560344,1.86788,12.3805,14.3665,3.63876
-270081,0,14.3855,0,1,1,270085,0.348032,18573.7,-366.2,0.982332,2.69592,25211.5,41629.7,0.200152,0.0560344,1.86788,12.3805,14.3665,3.63876
-270081,0,2.43117,0,1,1,270087,0.348032,18573.7,-366.2,0.982332,2.69592,25211.5,41629.7,0.200152,0.0560344,1.86788,12.3805,14.3665,3.63876
-270081,0,0.239791,0,1,1,270086,0.348032,18573.7,-366.2,0.982332,2.69592,25211.5,41629.7,0.200152,0.0560344,1.86788,12.3805,14.3665,3.63876
-270081,0,0.0186273,0,1,1,270086,0.348032,18573.7,-366.2,0.982332,2.69592,25211.5,41629.7,0.200152,0.0560344,1.86788,12.3805,14.3665,3.63876
-44320.8,1,0.00130482,2,3,0,197141,0.345574,18574,-212.958,0.982554,2.69586,25211.6,41629.5,0.200152,0.0560348,1.86783,12.3803,14.3665,3.63896
-2383.79,1,0.00189104,2,7,0,17094,0.348935,18574,52.6359,0.982153,2.69591,25212.6,41629.2,0.200152,0.0560332,1.86753,12.3797,14.3667,3.63912
-2383.79,1.14126e-252,0.00305706,1,2,1,2387.36,0.348935,18574,52.6359,0.982153,2.69591,25212.6,41629.2,0.200152,0.0560332,1.86753,12.3797,14.3667,3.63912
-752.019,1,0.000228818,4,15,0,2385.39,0.348778,18574,12.084,0.982319,2.69594,25212.9,41628.9,0.200154,0.0560312,1.86767,12.3793,14.3667,3.63926
-556.022,1,0.000408639,3,7,0,759.072,0.348578,18574.1,6.88154,0.982683,2.69605,25212.9,41628.4,0.200148,0.0560314,1.86761,12.3789,14.3667,3.63891
-490.153,1,0.000758439,4,15,0,555.7,0.345504,18574.1,-6.38516,0.98351,2.69605,25213.8,41629.3,0.200149,0.0560336,1.86769,12.3777,14.3667,3.63894
-448.872,0.990737,0.00144197,4,15,0,494.483,0.344106,18574.1,-0.651304,0.985,2.6963,25212.7,41627.5,0.200168,0.0560275,1.86733,12.3772,14.3662,3.63815
-440.93,0.250119,0.00270011,2,4,1,454.848,0.342012,18574.1,-2.36194,0.985191,2.69624,25213.4,41627.4,0.200172,0.0560267,1.86734,12.3774,14.3662,3.63843
-429.733,0.985073,0.000499371,4,15,0,449.324,0.340365,18574.1,-1.46689,0.985669,2.69647,25213.1,41628.6,0.200177,0.056029,1.86742,12.3758,14.3663,3.63813
-419.281,0.761702,0.000938985,4,15,0,436.189,0.340966,18574.1,-2.19033,0.986437,2.6964,25213.3,41629.1,0.200174,0.0560274,1.86761,12.3758,14.3662,3.63828
-409.388,0.936377,0.000884135,4,15,0,422.744,0.339913,18574.1,-1.57833,0.986916,2.69623,25213.5,41629.1,0.200177,0.0560278,1.8676,12.3754,14.3661,3.63857
-369.41,0.293448,0.00143496,4,15,0,418.045,0.33843,18574.1,-2.15454,0.989347,2.69568,25212.7,41628.5,0.200164,0.0560327,1.8678,12.376,14.3661,3.63735
-366.302,0.814089,0.000326128,4,15,0,376.141,0.338223,18574.1,-1.28246,0.989428,2.69569,25212.1,41628.2,0.200165,0.0560327,1.86776,12.376,14.3662,3.63681
